Recency,Frequency,MonetaryValue,Length
59,1,1320000,1915
39,1,1199000,1894
58,1,16885000,1913
27,1,1232000,1882
61,1,3135000,1916
18,1,12210000,1873
1,1,1551000,1856
76,1,759000,1931
58,1,1320000,1914
27,1,4030000,1882
27,1,5640000,1882
26,1,10615000,1881
85,1,1489400,1941
19,1,10560000,1874
11,3,3089000,1871
22,1,3640000,1877
37,1,12969000,1892
39,1,5868000,1894
2,2,34650000,1927
27,1,12969000,1882
18,1,4680000,1873
31,1,10560000,1886
18,1,4745000,1873
23,1,1221000,1878
41,1,10010000,1896
65,1,3410000,1920
24,1,11000000,1879
41,1,5868000,1896
56,10,7315000,1912
58,1,16885000,1913
70,1,873400,1925
23,1,10560000,1878
79,2,2431000,1935
28,3,1980000,1883
20,1,11099000,1875
81,1,1012000,1936
24,1,385000,1879
32,1,4465000,1887
45,1,10340000,1900
19,1,11099000,1874
68,1,727100,1923
65,3,2351900,1939
23,1,1210000,1879
19,1,11099000,1874
19,1,11660000,1874
29,1,10560000,1884
76,2,1650000,1931
18,1,12100000,1873
33,1,11099000,1888
25,1,14399000,1880
41,1,6360000,1896
18,1,6108000,1873
64,1,455000,1920
20,1,282000,1876
18,1,4875000,1873
73,1,1320000,1928
29,1,572000,1885
59,3,3256000,1914
23,1,11055000,1878
36,1,5520000,1891
81,1,753500,1936
18,1,12210000,1873
59,1,825000,1915
37,1,11000000,1892
60,2,4400000,1930
24,1,11033000,1879
38,1,10010000,1893
76,6,4620000,1931
18,1,6120000,1873
88,1,1232000,1943
26,1,1210000,1882
22,1,2560000,1877
71,1,645600,1927
17,3,2406000,1900
29,1,11000000,1884
54,3,1838470,1910
26,2,11220000,1881
62,1,836000,1917
33,1,11220000,1888
51,1,6360000,1906
20,1,10659000,1875
24,1,11440000,1879
12,1,3900000,1867
49,1,1034000,1905
56,1,863500,1911
27,1,5940000,1882
20,1,6120000,1875
18,1,12210000,1873
81,2,2024000,1939
31,1,2560000,1886
76,1,814000,1931
32,1,10659000,1887
20,1,6120000,1875
20,1,11055000,1875
43,1,643500,1898
23,1,2560000,1878
40,1,5868000,1895
27,1,11000000,1882
23,1,2560000,1878
65,2,1463000,1929
22,1,10560000,1877
18,1,4680000,1873
62,1,1210000,1917
22,1,1232000,1878
20,4,4290000,1915
59,1,814000,1915
24,2,22939400,1902
30,1,11220000,1885
27,2,10340000,1882
26,1,4030000,1881
19,1,1210000,1875
25,1,3075000,1880
28,1,660000,1883
40,5,4418500,1912
30,1,1210000,1886
23,1,10780000,1878
37,1,11605000,1892
69,1,715000,1924
30,1,572000,1885
66,1,715000,1922
27,1,2560000,1882
84,1,935000,1940
79,1,715000,1934
24,1,1210000,1879
36,1,10835000,1891
18,1,11660000,1873
60,3,2020000,1915
80,1,804000,1935
